date,day,5am-7am entry,5am-7am exit,7am-9am entry,7am-9am exit,9am-5pm entry,9am-5pm exit,5pm-7pm entry,5pm-7pm exit,7pm-10pm entry,7pm-10pm exit
2024-08-01,Thu,894,971,1222,1802,4223,3729,1847,1716,652,1130
2024-08-02,Fri,844,790,1296,1805,4344,3879,1833,1615,629,1260
2024-08-03,Sat,428,296,773,655,3315,2829,932,1017,398,804
2024-08-04,Sun,221,125,418,288,2584,2114,573,754,300,748
2024-08-05,Mon,1066,987,1397,2394,3975,3937,1953,1598,618,1276
2024-08-06,Tue,889,893,1436,2232,4131,3824,2027,1706,722,1343
2024-08-07,Wed,889,923,1449,2380,4285,3898,1962,1799,773,1315
2024-08-08,Thu,858,901,1417,2620,3972,3751,2233,1778,740,1318
2024-08-09,Fri,838,742,1308,2510,4167,3914,2383,1680,764,1377
2024-08-10,Sat,418,338,862,928,3618,2976,1032,1154,452,940
2024-08-11,Sun,205,223,435,287,2843,2228,675,949,356,773
2024-08-12,Mon,1067,1317,1401,2798,4949,5146,2596,1901,981,1394
2024-08-13,Tue,1121,1503,1499,2950,4860,4533,2354,2004,1036,1445
2024-08-14,Wed,926,1277,1404,2904,4916,4841,2448,1804,1011,1345
2024-08-15,Thu,948,1482,1347,2904,4870,4770,2536,1736,1079,1427
2024-08-16,Fri,759,1260,1417,2526,5189,4878,2615,1823,1021,1444
2024-08-17,Sat,440,470,903,970,4358,3556,1337,1201,535,991
2024-08-18,Sun,215,118,393,274,2778,1961,566,812,317,694
2024-08-19,Mon,1043,428,1224,907,3514,3275,655,1109,0,26
2024-08-20,Tue,57,20,1301,1875,3746,3439,2024,1519,714,1257
2024-08-21,Wed,808,1503,1416,2810,5086,4784,2386,1770,976,1334
2024-08-22,Thu,1023,1398,1364,2673,4992,5068,2576,1850,1276,1543
2024-08-23,Fri,277,336,544,596,2934,2548,932,867,386,802
2024-08-24,Sat,419,456,676,828,3703,3084,1049,970,558,823
2024-08-25,Sun,187,126,401,276,2391,1903,485,648,326,613
2024-08-26,Mon,192,202,365,380,2494,2125,622,723,339,718
2024-08-27,Tue,1200,1061,1510,2954,4984,5819,2514,1971,1231,1528
2024-08-28,Wed,404,622,985,1180,2796,2533,1295,1069,455,854
2024-08-29,Thu,1134,1055,1489,2873,4411,4648,2412,1988,1030,1555
2024-08-30,Fri,995,1367,1433,2796,5522,4785,2662,2037,1371,1697
2024-08-31,Sat,519,507,956,1012,4232,3719,1252,1220,599,997
