date,day,5am-7am entry,5am-7am exit,7am-9am entry,7am-9am exit,9am-5pm entry,9am-5pm exit,5pm-7pm entry,5pm-7pm exit,7pm-10pm entry,7pm-10pm exit
2024-08-01,Thu,4984,401,5928,817,8631,6357,1341,5558,1063,4412
2024-08-02,Fri,4789,426,5969,842,9879,7355,1652,5432,1102,5507
2024-08-03,Sat,2381,401,3394,852,9298,7668,1723,4453,1106,3959
2024-08-04,Sun,1137,380,1951,753,8467,5806,1615,2217,1343,2434
2024-08-05,Mon,6288,426,7809,826,9892,6666,1427,5612,1027,4854
2024-08-06,Tue,5684,442,6282,862,8434,6637,1424,5331,1065,4825
2024-08-07,Wed,5617,446,5904,828,8316,6492,1359,5229,1049,4798
2024-08-08,Thu,4939,410,6622,764,8261,6065,1315,5559,1005,4559
2024-08-09,Fri,5379,433,6258,783,9594,7022,1592,5878,1148,5201
2024-08-10,Sat,2351,357,3801,886,9536,7664,1491,4596,973,4020
2024-08-11,Sun,1217,271,1902,788,8622,6089,1877,2298,1489,2674
2024-08-12,Mon,7516,486,7530,816,9740,6844,1400,5599,1011,5257
2024-08-13,Tue,6722,484,7033,827,8697,6771,1358,5439,1041,5473
2024-08-14,Wed,6296,412,6118,813,8559,6571,1431,5851,1055,4827
2024-08-15,Thu,6144,453,6659,766,8903,6381,1414,5539,1124,5443
2024-08-16,Fri,5755,403,6549,822,9760,7207,1821,5854,1225,5851
2024-08-17,Sat,2847,402,3757,906,9916,7983,1931,4794,1283,4467
2024-08-18,Sun,1212,307,1946,862,8617,5997,1928,2238,1468,2408
2024-08-19,Mon,6843,485,5717,837,9291,6707,1028,2825,1,1
2024-08-20,Tue,651,0,4910,622,7795,5678,1291,4607,863,4643
2024-08-21,Wed,5986,451,4814,1140,8767,6556,1382,5654,1007,4909
2024-08-22,Thu,6142,458,6327,807,9787,7030,1580,6141,1142,6138
2024-08-23,Fri,2116,507,2691,1031,8998,7178,1555,3309,1451,3000
2024-08-24,Sat,2609,425,3046,833,9363,7210,1807,4477,1210,3878
2024-08-25,Sun,1091,422,1938,879,8499,6348,1500,2130,1239,2223
2024-08-26,Mon,1899,423,2258,671,8717,5253,2042,2520,1766,2280
2024-08-27,Tue,6054,613,7773,980,11274,6975,1554,6111,989,5518
2024-08-28,Wed,3477,451,4285,642,6287,4855,1312,3818,873,3326
2024-08-29,Thu,7122,400,6717,831,8947,6671,1422,6436,947,5568
2024-08-30,Fri,6339,445,6154,852,10530,7198,1634,6375,1222,6673
2024-08-31,Sat,3214,457,3858,843,10696,8133,1720,5274,1210,4957
