date,day,5am-7am entry,5am-7am exit,7am-9am entry,7am-9am exit,9am-5pm entry,9am-5pm exit,5pm-7pm entry,5pm-7pm exit,7pm-10pm entry,7pm-10pm exit
2024-08-01,Thu,1880,2936,2341,5391,10247,14162,6045,5124,4744,3353
2024-08-02,Fri,1834,2494,2271,5470,10675,15925,5914,5204,5569,3765
2024-08-03,Sat,1354,1323,1834,2763,10049,15558,4235,4311,3925,2875
2024-08-04,Sun,581,715,1028,1463,8307,12430,2851,3002,3134,2253
2024-08-05,Mon,1618,3156,2213,6675,10020,15095,5856,4835,4755,3612
2024-08-06,Tue,1956,3046,2494,5605,9869,13726,5784,4748,5026,3783
2024-08-07,Wed,1904,3006,2522,5588,9850,13830,6088,4985,5058,3730
2024-08-08,Thu,1893,2770,2529,5832,9659,14143,6042,5218,4954,3754
2024-08-09,Fri,1874,2372,2437,5930,10294,15552,6071,5590,5419,4368
2024-08-10,Sat,1467,1293,1941,2951,10079,15774,4237,4249,4040,2935
2024-08-11,Sun,544,903,1064,1498,8729,13263,3276,3327,3357,2569
2024-08-12,Mon,1670,3141,2369,5965,10493,15645,6116,5082,5027,3995
2024-08-13,Tue,2258,3199,2775,5973,10075,14215,6190,5306,5073,4008
2024-08-14,Wed,1966,2897,2563,6261,9992,14187,6409,5050,5237,3798
2024-08-15,Thu,1990,3135,2508,5818,10390,14800,6037,5306,5548,4166
2024-08-16,Fri,1517,2853,2518,5680,10675,15998,6151,5863,5790,4575
2024-08-17,Sat,1470,1579,2163,3112,11642,17335,4827,5038,4712,3155
2024-08-18,Sun,566,832,1140,1597,8676,13333,3256,3351,3314,2330
2024-08-19,Mon,1611,3012,2285,4486,9682,14135,3322,4608,1276,6758
2024-08-20,Tue,3054,1641,3427,5250,9440,12975,5837,4463,5093,3459
2024-08-21,Wed,1678,1838,2561,5230,10150,14331,5598,5168,5174,3624
2024-08-22,Thu,2114,2928,2592,5344,10909,15670,5728,5908,5475,5124
2024-08-23,Fri,1234,1226,1590,2314,8936,13981,3558,3762,3554,3285
2024-08-24,Sat,1309,1356,1972,2524,10149,14951,4254,4326,3742,2881
2024-08-25,Sun,567,788,1161,1495,8529,13029,2864,2894,3186,2165
2024-08-26,Mon,559,1097,1007,1673,7630,11073,3128,2939,2857,2842
2024-08-27,Tue,2288,2495,3050,5666,10675,16160,6240,5471,5120,4307
2024-08-28,Wed,1274,2461,2089,3891,7871,11199,5070,3123,4285,2654
2024-08-29,Thu,2191,2782,2637,5956,10330,14606,6100,5844,5364,4371
2024-08-30,Fri,2022,2835,2628,5996,11008,16521,6293,6594,6406,5235
2024-08-31,Sat,1455,1564,2320,3000,11805,18550,5056,5272,4802,3486
