date,day,5am-7am entry,5am-7am exit,7am-9am entry,7am-9am exit,9am-5pm entry,9am-5pm exit,5pm-7pm entry,5pm-7pm exit,7pm-10pm entry,7pm-10pm exit
2024-08-01,Thu,194,285,316,696,848,786,646,285,182,155
2024-08-02,Fri,182,254,343,683,937,851,637,298,248,178
2024-08-03,Sat,77,112,175,324,828,676,270,178,93,104
2024-08-04,Sun,48,47,91,138,601,456,105,148,86,102
2024-08-05,Mon,239,272,336,750,1045,961,633,292,194,172
2024-08-06,Tue,188,258,346,790,957,809,668,266,172,170
2024-08-07,Wed,238,238,328,782,1024,942,689,328,235,169
2024-08-08,Thu,205,259,359,702,916,898,650,295,211,175
2024-08-09,Fri,192,191,353,747,1031,930,657,337,238,203
2024-08-10,Sat,89,92,173,310,752,608,265,195,124,128
2024-08-11,Sun,31,63,94,122,562,487,166,108,108,96
2024-08-12,Mon,277,253,360,769,1023,993,627,309,207,186
2024-08-13,Tue,274,287,358,801,997,925,654,305,209,193
2024-08-14,Wed,237,235,369,818,1062,894,680,341,211,162
2024-08-15,Thu,219,269,361,752,954,889,663,332,224,195
2024-08-16,Fri,117,182,346,775,1147,880,660,360,216,200
2024-08-17,Sat,93,107,196,298,830,719,344,202,124,133
2024-08-18,Sun,38,32,113,106,489,415,101,96,82,111
2024-08-19,Mon,228,101,319,360,668,663,204,176,77,172
2024-08-20,Tue,125,127,319,729,877,817,650,266,205,172
2024-08-21,Wed,206,156,355,749,1039,933,658,326,181,191
2024-08-22,Thu,236,251,416,723,1016,951,675,358,236,257
2024-08-23,Fri,45,88,136,256,632,521,240,166,97,124
2024-08-24,Sat,84,88,153,240,697,532,247,156,93,127
2024-08-25,Sun,42,54,84,111,482,389,116,94,79,94
2024-08-26,Mon,39,52,98,144,476,438,135,132,93,99
2024-08-27,Tue,287,165,436,701,919,980,632,353,183,245
2024-08-28,Wed,85,144,193,539,607,627,558,196,175,99
2024-08-29,Thu,282,202,427,705,897,886,648,365,229,234
2024-08-30,Fri,249,213,392,671,950,920,658,388,216,272
2024-08-31,Sat,106,93,215,275,791,656,266,193,164,132
