date,day,5am-7am entry,5am-7am exit,7am-9am entry,7am-9am exit,9am-5pm entry,9am-5pm exit,5pm-7pm entry,5pm-7pm exit,7pm-10pm entry,7pm-10pm exit
2024-08-01,Thu,173,349,277,1514,1730,2391,1823,519,683,255
2024-08-02,Fri,152,347,282,1457,1891,2524,1789,491,669,275
2024-08-03,Sat,96,206,182,846,1918,2452,1110,428,421,207
2024-08-04,Sun,56,117,97,218,1081,1909,554,290,361,205
2024-08-05,Mon,201,412,327,1443,1775,2271,1725,537,563,238
2024-08-06,Tue,183,357,326,1570,1733,2426,1819,529,736,290
2024-08-07,Wed,206,366,342,1688,1826,2505,1816,543,755,321
2024-08-08,Thu,203,337,331,1696,1746,2453,1858,531,759,320
2024-08-09,Fri,174,362,364,1669,1912,2416,1824,643,766,315
2024-08-10,Sat,93,180,182,955,1837,2436,1056,466,581,218
2024-08-11,Sun,62,90,132,247,1316,2006,530,296,343,221
2024-08-12,Mon,241,451,350,1492,1684,2518,1941,615,659,294
2024-08-13,Tue,239,432,404,1712,1757,2485,1972,517,692,366
2024-08-14,Wed,197,366,364,1745,1826,2453,1862,561,754,354
2024-08-15,Thu,226,428,365,1686,1743,2529,1936,547,723,306
2024-08-16,Fri,118,353,323,1663,1948,2628,1998,669,811,379
2024-08-17,Sat,107,211,221,936,1890,2563,1307,456,488,212
2024-08-18,Sun,65,112,105,230,1097,1720,430,308,364,209
2024-08-19,Mon,189,212,280,944,1413,2142,1042,1210,483,368
2024-08-20,Tue,139,175,306,1504,1564,2127,1962,460,694,269
2024-08-21,Wed,253,256,346,1608,1834,2552,1869,489,741,317
2024-08-22,Thu,246,430,382,1607,2037,2654,2038,657,871,390
2024-08-23,Fri,68,159,149,457,1560,2387,830,383,416,196
2024-08-24,Sat,66,228,152,781,1468,2011,1060,372,442,177
2024-08-25,Sun,59,98,108,223,1064,1588,425,305,278,140
2024-08-26,Mon,50,110,96,311,1123,1839,618,340,336,182
2024-08-27,Tue,265,332,435,1627,1771,2608,1840,580,705,341
2024-08-28,Wed,93,282,197,1039,1245,1898,1464,301,543,192
2024-08-29,Thu,309,432,385,1658,1852,2505,1982,622,774,341
2024-08-30,Fri,238,455,400,1473,1941,2730,1893,632,875,434
2024-08-31,Sat,106,288,199,756,1912,2526,1150,490,519,224
