date,day,5am-7am entry,5am-7am exit,7am-9am entry,7am-9am exit,9am-5pm entry,9am-5pm exit,5pm-7pm entry,5pm-7pm exit,7pm-10pm entry,7pm-10pm exit
2024-08-01,Thu,234,309,379,798,1104,946,702,434,229,247
2024-08-02,Fri,228,304,370,705,1113,946,731,389,234,310
2024-08-03,Sat,128,139,209,313,1080,752,378,259,163,202
2024-08-04,Sun,68,70,112,76,731,579,136,199,109,192
2024-08-05,Mon,312,372,382,894,1123,903,653,426,238,279
2024-08-06,Tue,257,320,376,855,1064,815,677,409,244,295
2024-08-07,Wed,267,325,402,874,1120,850,703,407,260,278
2024-08-08,Thu,241,294,467,960,1074,838,701,420,262,294
2024-08-09,Fri,255,261,379,849,1163,876,724,425,289,335
2024-08-10,Sat,123,126,243,331,1001,753,379,251,156,230
2024-08-11,Sun,72,68,127,80,707,590,182,190,121,259
2024-08-12,Mon,296,334,396,935,1097,983,716,429,256,298
2024-08-13,Tue,331,325,434,921,1132,903,694,437,288,299
2024-08-14,Wed,304,298,388,914,1147,894,704,442,255,300
2024-08-15,Thu,284,359,427,940,1132,873,753,428,295,304
2024-08-16,Fri,128,571,400,911,1239,999,808,473,316,319
2024-08-17,Sat,120,137,241,299,1131,806,396,215,171,259
2024-08-18,Sun,83,47,120,109,732,526,168,171,77,183
2024-08-19,Mon,299,311,341,808,1114,906,602,313,157,242
2024-08-20,Tue,159,113,366,710,953,852,749,414,255,258
2024-08-21,Wed,276,175,429,868,1116,935,715,441,263,313
2024-08-22,Thu,316,311,422,757,1135,999,777,491,339,316
2024-08-23,Fri,64,105,191,213,856,595,295,239,147,199
2024-08-24,Sat,95,115,195,199,853,629,321,213,144,183
2024-08-25,Sun,56,54,142,85,729,474,126,182,96,165
2024-08-26,Mon,49,106,118,132,638,560,199,202,119,209
2024-08-27,Tue,343,294,531,851,1092,1194,710,499,294,334
2024-08-28,Wed,126,228,362,683,727,589,551,279,227,166
2024-08-29,Thu,319,317,433,950,1143,936,729,551,289,321
2024-08-30,Fri,279,208,484,521,1030,868,525,506,245,387
2024-08-31,Sat,144,152,265,308,1064,789,424,313,158,202
