date,day,5am-7am entry,5am-7am exit,7am-9am entry,7am-9am exit,9am-5pm entry,9am-5pm exit,5pm-7pm entry,5pm-7pm exit,7pm-10pm entry,7pm-10pm exit
2024-08-01,Thu,1174,557,1920,1077,4517,2808,1472,1348,495,932
2024-08-02,Fri,1330,585,1903,1104,5137,3053,1415,1391,605,1094
2024-08-03,Sat,748,271,1135,526,4312,2719,1041,938,499,789
2024-08-04,Sun,383,179,799,357,3541,2380,583,723,443,663
2024-08-05,Mon,1428,687,2028,1151,4402,2986,1300,1275,573,1100
2024-08-06,Tue,1250,589,2012,1154,4248,2795,1415,1466,667,1119
2024-08-07,Wed,1259,567,1923,1185,4546,3130,1532,1488,678,1093
2024-08-08,Thu,1209,650,1892,1446,4587,3010,1768,1437,706,1098
2024-08-09,Fri,1215,606,1935,1472,5157,3474,1966,1472,854,1231
2024-08-10,Sat,678,326,1244,623,4980,3384,1497,1035,867,828
2024-08-11,Sun,498,416,805,621,5173,3803,1467,918,842,702
2024-08-12,Mon,1645,823,1993,1410,4687,3262,1716,1416,684,1236
2024-08-13,Tue,1610,734,2075,1433,4490,3221,1712,1463,688,1168
2024-08-14,Wed,1335,631,1896,1241,4316,3008,1563,1502,694,1091
2024-08-15,Thu,1352,738,1832,1367,4561,3006,1668,1353,764,1266
2024-08-16,Fri,1393,477,1796,1186,4903,3261,1671,1489,799,1370
2024-08-17,Sat,801,235,1119,614,4795,2729,1117,1042,542,910
2024-08-18,Sun,392,143,794,293,3448,2080,658,675,412,643
2024-08-19,Mon,1739,308,1642,530,4099,2847,464,803,0,5
2024-08-20,Tue,56,31,1586,1223,3840,2676,1543,1209,681,1011
2024-08-21,Wed,1291,512,1571,1343,4565,3268,1624,1331,716,1130
2024-08-22,Thu,1503,730,1775,1534,5218,3399,2102,1446,976,1387
2024-08-23,Fri,593,210,985,476,4125,2584,842,922,510,860
2024-08-24,Sat,676,227,1024,568,4223,2579,975,964,490,728
2024-08-25,Sun,389,151,692,272,3112,1970,509,569,307,551
2024-08-26,Mon,346,167,644,345,3159,2077,674,816,396,632
2024-08-27,Tue,1472,677,2137,1804,5105,3619,1961,1468,792,1287
2024-08-28,Wed,816,314,996,599,2496,1707,790,880,367,719
2024-08-29,Thu,1597,855,1969,1620,4906,3217,2061,1549,778,1230
2024-08-30,Fri,1460,678,1923,1597,5285,3522,2277,1485,1211,1444
2024-08-31,Sat,896,283,1278,696,5342,2941,1210,1136,523,1003
