date,day,5am-7am entry,5am-7am exit,7am-9am entry,7am-9am exit,9am-5pm entry,9am-5pm exit,5pm-7pm entry,5pm-7pm exit,7pm-10pm entry,7pm-10pm exit
2024-08-01,Thu,301,2354,547,2608,6755,5742,2644,965,1126,712
2024-08-02,Fri,310,1454,492,2315,6398,5508,2367,835,1024,710
2024-08-03,Sat,166,998,431,1752,5483,3760,1325,626,698,578
2024-08-04,Sun,126,201,238,438,2239,2065,674,754,451,894
2024-08-05,Mon,364,3723,608,4287,8812,7138,3301,947,2276,797
2024-08-06,Tue,294,2866,568,3941,7858,7049,3529,1086,2191,752
2024-08-07,Wed,328,2822,536,3152,7441,5889,2839,1011,1613,819
2024-08-08,Thu,272,2430,586,3571,7265,6811,3514,1123,1932,792
2024-08-09,Fri,284,2471,601,3186,7282,6114,3238,1132,1804,765
2024-08-10,Sat,179,1401,400,2099,6274,4686,1820,654,1197,579
2024-08-11,Sun,157,248,262,448,2423,2191,721,805,447,1039
2024-08-12,Mon,320,3942,539,3962,8404,7662,3966,1125,2622,877
2024-08-13,Tue,332,3927,539,4347,8759,7595,4123,1141,2863,812
2024-08-14,Wed,324,2407,562,3328,6615,5443,3111,1099,1645,844
2024-08-15,Thu,333,2955,556,3628,7712,6857,3593,1170,2201,919
2024-08-16,Fri,0,0,456,3106,7606,6780,3971,1127,2553,917
2024-08-17,Sat,188,1208,405,2122,6489,4584,2067,685,1191,640
2024-08-18,Sun,114,161,212,449,2432,1933,724,815,414,935
2024-08-19,Mon,226,3823,402,4193,8188,7125,3737,1770,2017,467
2024-08-20,Tue,240,956,501,2028,4377,4487,2406,1076,1525,814
2024-08-21,Wed,288,1332,499,3705,6890,6215,3205,1059,2070,802
2024-08-22,Thu,301,3464,523,3820,8070,7345,4492,1245,3178,794
2024-08-23,Fri,172,249,306,535,2909,2101,782,603,494,697
2024-08-24,Sat,162,980,267,1408,4447,3428,1507,524,995,545
2024-08-25,Sun,123,168,205,494,2402,2054,639,425,330,500
2024-08-26,Mon,141,169,175,447,1888,2381,605,895,421,897
2024-08-27,Tue,292,3209,597,4677,7930,8823,4337,1281,3117,766
2024-08-28,Wed,228,408,443,507,1979,1674,627,682,438,684
2024-08-29,Thu,330,3913,536,4571,8279,7654,4654,1256,3003,822
2024-08-30,Fri,300,3153,543,3610,7801,7052,4145,1198,2982,904
2024-08-31,Sat,168,1511,418,2360,6802,4773,2322,760,1423,638
