date,day,5am-7am entry,5am-7am exit,7am-9am entry,7am-9am exit,9am-5pm entry,9am-5pm exit,5pm-7pm entry,5pm-7pm exit,7pm-10pm entry,7pm-10pm exit
2024-08-01,Thu,3203,492,3668,933,7092,6585,1411,4703,877,3568
2024-08-02,Fri,1559,210,3791,1121,7797,7415,1651,4689,1052,3963
2024-08-03,Sat,1398,381,1970,819,7332,6552,1497,3065,1280,2546
2024-08-04,Sun,651,216,1159,553,6003,4892,1241,1800,984,1965
2024-08-05,Mon,4192,466,4511,1035,7754,7070,1468,4974,900,3747
2024-08-06,Tue,4043,515,3647,1003,7256,6517,1461,4903,868,3769
2024-08-07,Wed,3984,507,3994,983,6846,6834,1488,4740,912,3808
2024-08-08,Thu,3427,509,4359,869,7194,6480,1477,5088,925,3540
2024-08-09,Fri,3737,486,3966,986,7907,7032,1724,4910,1027,4372
2024-08-10,Sat,1755,391,2295,811,7556,7055,1574,3251,935,2716
2024-08-11,Sun,801,196,1159,520,6073,5376,1359,1903,1099,1974
2024-08-12,Mon,4981,532,4745,1025,8136,7414,1456,5520,926,4212
2024-08-13,Tue,5242,537,4367,1028,7554,7185,1533,5562,910,4598
2024-08-14,Wed,4343,529,4373,998,7179,6837,1475,5113,883,4017
2024-08-15,Thu,4369,523,4384,963,7418,6983,1562,5150,1063,4340
2024-08-16,Fri,4224,360,4048,1034,7911,7677,1740,4960,1191,4861
2024-08-17,Sat,1878,362,2270,808,8016,7150,1829,3500,1156,3005
2024-08-18,Sun,676,198,1110,529,6035,4878,1306,1722,957,1774
2024-08-19,Mon,4502,546,3345,982,7438,7095,1031,2384,0,0
2024-08-20,Tue,577,12,3324,832,5853,5581,1318,4107,896,3323
2024-08-21,Wed,4262,432,4125,1092,7734,6857,1475,5498,902,4059
2024-08-22,Thu,4876,532,4318,1046,8495,7890,1663,5477,1082,5131
2024-08-23,Fri,1089,376,1551,710,6358,5528,1341,2383,910,2187
2024-08-24,Sat,1578,400,1956,758,7648,6454,1494,3056,1003,2524
2024-08-25,Sun,649,180,1189,490,6078,4945,935,1696,724,1786
2024-08-26,Mon,874,273,1217,528,5741,4420,1361,1935,1071,1597
2024-08-27,Tue,4602,726,5395,1080,9264,7911,1499,5874,947,4793
2024-08-28,Wed,1983,377,2377,873,4525,4589,1191,2850,750,2136
2024-08-29,Thu,5235,550,4801,921,8050,7422,1537,6103,1004,4889
2024-08-30,Fri,4703,544,4348,981,8615,7835,1985,5808,1336,5356
2024-08-31,Sat,2193,416,2621,832,8590,7851,1862,3825,1256,3222
