date,day,5am-7am entry,5am-7am exit,7am-9am entry,7am-9am exit,9am-5pm entry,9am-5pm exit,5pm-7pm entry,5pm-7pm exit,7pm-10pm entry,7pm-10pm exit
2024-08-01,Thu,708,720,1097,1410,3992,3546,1421,1377,840,1002
2024-08-02,Fri,674,550,1075,1491,4133,3677,1523,1317,968,973
2024-08-03,Sat,326,347,603,813,3600,2869,1113,847,609,747
2024-08-04,Sun,205,131,387,304,2060,1570,493,700,314,736
2024-08-05,Mon,800,726,1257,1517,4093,3916,1637,1492,858,975
2024-08-06,Tue,669,600,1166,1332,3524,3684,1609,1432,894,1020
2024-08-07,Wed,665,506,1180,1572,3964,3865,1674,1406,904,999
2024-08-08,Thu,656,602,1303,1486,3919,3688,1571,1283,826,1108
2024-08-09,Fri,702,449,1153,1818,4165,3685,1726,1393,973,1046
2024-08-10,Sat,363,382,635,1039,3605,2955,1167,846,677,761
2024-08-11,Sun,234,150,391,330,2289,1699,460,668,327,916
2024-08-12,Mon,784,726,1192,1495,4020,3967,1532,1564,959,1023
2024-08-13,Tue,799,720,1336,1540,3689,3531,1612,1567,935,1022
2024-08-14,Wed,720,560,1234,1543,3593,3320,1532,1536,847,1064
2024-08-15,Thu,769,629,1125,1417,3612,3593,1598,1404,920,1084
2024-08-16,Fri,0,0,1335,1226,4013,3638,1825,1518,974,1180
2024-08-17,Sat,339,354,602,727,3491,2596,1126,896,559,847
2024-08-18,Sun,197,110,333,284,2111,1449,507,703,352,755
2024-08-19,Mon,588,772,935,1425,3585,3852,1461,897,838,534
2024-08-20,Tue,633,296,1097,1429,3282,2997,1479,1467,821,1066
2024-08-21,Wed,600,323,1078,1298,3294,3341,1400,1393,838,1016
2024-08-22,Thu,741,624,1151,1467,3819,3649,1683,1505,1127,1058
2024-08-23,Fri,299,269,500,518,2609,1793,736,758,512,666
2024-08-24,Sat,301,300,542,603,2730,2104,872,718,454,672
2024-08-25,Sun,196,130,327,275,2045,1265,436,479,218,588
2024-08-26,Mon,222,168,327,366,1927,1751,577,808,407,825
2024-08-27,Tue,778,557,1426,1317,3753,4104,1754,1512,965,1049
2024-08-28,Wed,512,393,1032,668,2064,1772,740,1125,444,797
2024-08-29,Thu,803,559,1214,1471,3643,3722,1650,1584,1067,1161
2024-08-30,Fri,732,547,1245,1388,3763,4043,2104,1447,1456,1370
2024-08-31,Sat,399,357,616,1014,4564,3457,1376,877,696,794
