date,day,5am-7am entry,5am-7am exit,7am-9am entry,7am-9am exit,9am-5pm entry,9am-5pm exit,5pm-7pm entry,5pm-7pm exit,7pm-10pm entry,7pm-10pm exit
2024-08-01,Thu,2000,2952,3343,5764,14408,14195,6931,4183,3265,2538
2024-08-02,Fri,1992,3477,3795,6308,17746,17151,7650,5039,4371,2658
2024-08-03,Sat,1455,1666,2410,3711,15262,15202,5433,3576,2833,2423
2024-08-04,Sun,860,1069,1766,2726,13150,13745,4061,2571,2747,2276
2024-08-05,Mon,2697,3379,3726,6315,14915,15006,6813,4233,3344,2496
2024-08-06,Tue,1997,2806,3673,6352,14008,13443,6734,4305,3446,2742
2024-08-07,Wed,1862,2735,3535,6038,13975,14082,6987,4206,3726,2764
2024-08-08,Thu,2187,2543,3667,5762,13513,13845,6795,4382,3452,2790
2024-08-09,Fri,2033,2377,3654,6311,15741,16568,7432,4848,4834,3197
2024-08-10,Sat,1353,1417,2554,3677,14579,14534,5373,3682,3242,2756
2024-08-11,Sun,978,1038,1710,2338,12892,13536,4159,3048,2963,2786
2024-08-12,Mon,2703,3272,3933,6751,15116,15450,7436,4454,3957,2924
2024-08-13,Tue,2335,3221,3677,6509,14945,14776,7256,4388,4013,3032
2024-08-14,Wed,1842,2910,3321,6217,13808,13611,7350,4283,3734,2802
2024-08-15,Thu,2270,2738,3526,5906,14144,13970,6822,4379,3875,3233
2024-08-16,Fri,1,0,3190,5917,16360,15668,7445,5034,4357,3393
2024-08-17,Sat,941,1383,1810,3381,12183,14354,5130,3401,2763,2497
2024-08-18,Sun,665,936,1420,2485,11111,12739,3545,2260,2168,2088
2024-08-19,Mon,2132,3966,2974,7418,16170,15516,6461,3047,3822,1578
2024-08-20,Tue,1912,1705,3457,5200,13139,12858,6243,4407,3120,2646
2024-08-21,Wed,1546,1717,3452,5991,14473,15034,7137,4021,3817,2946
2024-08-22,Thu,2038,2938,3583,6752,15519,15173,7907,4591,4629,3486
2024-08-23,Fri,1154,1645,2108,3550,14841,15243,5247,2889,3097,2359
2024-08-24,Sat,875,1446,1489,3069,11875,13279,4583,2791,2393,2068
2024-08-25,Sun,711,938,1294,2190,10877,12255,3276,1944,2019,1842
2024-08-26,Mon,1034,1176,1488,2483,11899,12810,4043,2630,2554,2421
2024-08-27,Tue,2177,2934,3922,6249,15593,17104,7867,4476,4468,3046
2024-08-28,Wed,1153,2308,2539,3391,10238,9585,4440,3058,2317,1996
2024-08-29,Thu,2047,3619,3584,6913,15494,14972,8385,4421,4553,3079
2024-08-30,Fri,1965,3436,3506,6765,17300,16201,8312,5097,5073,3875
2024-08-31,Sat,1001,1832,1697,3941,13237,14696,5606,3338,3202,2500
