date,day,5am-7am entry,5am-7am exit,7am-9am entry,7am-9am exit,9am-5pm entry,9am-5pm exit,5pm-7pm entry,5pm-7pm exit,7pm-10pm entry,7pm-10pm exit
2022-01-01,Sat,177,157,479,452,4888,5384,1578,1143,801,798
2022-01-02,Sun,396,519,858,1354,7392,9383,2404,1454,1311,1105
2022-01-03,Mon,1048,1358,1512,2881,6521,6792,2609,1589,965,818
2022-01-04,Tue,751,950,1320,2539,5276,5772,2255,1449,743,692
2022-01-05,Wed,633,840,1265,2287,5175,5094,2173,1408,793,619
2022-01-06,Thu,622,743,1176,2172,4956,4818,1974,1262,667,678
2022-01-07,Fri,592,712,1222,2184,5076,4944,2163,1365,734,650
2022-01-08,Sat,434,501,808,1100,4055,3963,1374,1137,586,618
2022-01-09,Sun,300,296,518,630,3227,3477,910,741,569,584
2022-01-10,Mon,795,1082,1275,2584,5271,5416,2174,1324,690,595
2022-01-11,Tue,606,764,1125,2067,4802,4895,2105,1280,679,615
2022-01-12,Wed,611,785,1134,2067,4780,4492,2143,1303,668,591
2022-01-13,Thu,580,770,1163,2085,4649,4503,1981,1323,706,623
2022-01-14,Fri,648,703,1206,2134,5129,5169,2095,1397,759,678
2022-01-15,Sat,502,455,864,1402,4986,4972,1901,1341,830,812
2022-01-16,Sun,313,316,536,770,2784,3573,0,0,271,197
2022-01-17,Mon,864,1106,1352,2466,5372,5368,2261,1373,780,729
2022-01-18,Tue,665,910,1266,2099,4590,4663,2100,1398,776,694
2022-01-19,Wed,628,786,1239,2246,5097,5092,2198,1493,764,671
2022-01-20,Thu,672,800,1284,2117,5148,5232,2091,1479,809,729
2022-01-21,Fri,645,767,1275,2285,5652,5670,2314,1546,920,804
2022-01-22,Sat,541,471,917,1346,5269,5412,2138,1394,782,811
2022-01-23,Sun,285,294,450,788,3642,4639,1222,870,576,650
2022-01-24,Mon,952,1189,1524,3064,6050,6058,2416,1502,912,787
2022-01-25,Tue,694,937,1380,2388,5776,6066,2484,1480,930,812
2022-01-26,Wed,706,889,1392,2489,5890,6113,2640,1549,949,803
2022-01-27,Thu,703,872,1345,2439,5750,6038,2656,1554,988,766
2022-01-28,Fri,693,884,1495,2657,6551,6816,2936,1737,1145,895
2022-01-29,Sat,569,547,1023,1563,5988,6236,2385,1482,1051,841
2022-01-30,Sun,307,390,580,986,4502,5656,1394,974,688,718
2022-01-31,Mon,940,1329,1618,2960,6996,7145,2915,1764,1166,967
