date,day,5am-7am entry,5am-7am exit,7am-9am entry,7am-9am exit,9am-5pm entry,9am-5pm exit,5pm-7pm entry,5pm-7pm exit,7pm-10pm entry,7pm-10pm exit
2024-08-01,Thu,952,308,1130,345,2012,1642,482,1242,289,983
2024-08-02,Fri,914,218,1073,345,2149,1818,579,1209,281,1050
2024-08-03,Sat,406,160,601,261,1969,1487,445,773,268,751
2024-08-04,Sun,195,59,360,168,1803,1321,404,551,247,593
2024-08-05,Mon,1185,378,1244,364,2054,1816,481,1205,304,1126
2024-08-06,Tue,1029,302,1309,343,1888,1705,542,1249,287,1128
2024-08-07,Wed,1033,268,1267,362,1844,1646,515,1226,297,1091
2024-08-08,Thu,1003,298,1315,345,2020,1652,539,1305,301,1062
2024-08-09,Fri,971,230,1204,349,2134,1806,602,1234,367,1237
2024-08-10,Sat,426,157,603,270,2099,1589,492,766,263,731
2024-08-11,Sun,237,80,344,160,1721,1243,347,518,246,634
2024-08-12,Mon,1297,322,1294,391,2113,1819,492,1408,324,1252
2024-08-13,Tue,1282,268,1331,376,2058,1817,559,1345,296,1335
2024-08-14,Wed,1070,265,1233,327,1909,1607,516,1312,323,1145
2024-08-15,Thu,1086,288,1243,371,2061,1654,542,1289,334,1183
2024-08-16,Fri,1049,193,1170,348,2236,1869,600,1353,389,1294
2024-08-17,Sat,468,132,641,265,2255,1700,546,907,375,756
2024-08-18,Sun,225,63,392,148,1801,1371,361,501,253,615
2024-08-19,Mon,1073,334,939,312,1985,1700,355,1560,0,1
2024-08-20,Tue,77,0,1564,320,1730,1412,479,1110,258,1031
2024-08-21,Wed,1151,268,1252,457,2021,1676,502,1374,301,1222
2024-08-22,Thu,1264,290,1180,350,2267,1830,559,1302,361,1327
2024-08-23,Fri,288,144,443,223,1864,1338,404,698,274,603
2024-08-24,Sat,423,133,559,206,2037,1504,488,794,300,690
2024-08-25,Sun,195,58,375,148,1619,1200,288,495,213,516
2024-08-26,Mon,203,92,317,148,1672,1102,332,614,243,526
2024-08-27,Tue,1355,307,1359,421,2342,1831,566,1448,280,1334
2024-08-28,Wed,615,291,1188,972,1315,1180,457,849,232,695
2024-08-29,Thu,1394,290,1274,305,2076,1860,577,1462,365,1344
2024-08-30,Fri,1146,220,1271,346,2197,1830,599,1445,441,1405
2024-08-31,Sat,543,165,687,268,2320,1780,543,902,324,824
