date,day,5am-7am entry,5am-7am exit,7am-9am entry,7am-9am exit,9am-5pm entry,9am-5pm exit,5pm-7pm entry,5pm-7pm exit,7pm-10pm entry,7pm-10pm exit
2024-08-01,Thu,635,486,1116,1018,3129,3192,1614,1553,1073,1006
2024-08-02,Fri,633,418,1042,988,3527,3479,1697,1479,1131,1083
2024-08-03,Sat,397,253,636,657,3371,3207,1241,1154,934,791
2024-08-04,Sun,222,130,338,356,2671,2672,886,824,726,879
2024-08-05,Mon,746,452,1184,1211,3155,3263,1557,1647,1022,972
2024-08-06,Tue,752,508,1213,1121,3273,3094,1631,1519,1009,1082
2024-08-07,Wed,753,465,1208,1079,3335,3374,1658,1511,1086,1055
2024-08-08,Thu,737,429,1281,1152,3306,3088,1717,1679,1101,970
2024-08-09,Fri,687,311,1188,1191,3436,3312,1789,1654,1139,1098
2024-08-10,Sat,396,255,632,619,3381,3463,1216,1111,942,810
2024-08-11,Sun,270,235,329,321,2909,2693,813,912,837,876
2024-08-12,Mon,840,550,1207,1235,3398,3545,1797,1686,1129,1177
2024-08-13,Tue,848,521,1317,1103,3407,3373,1635,1756,1107,1161
2024-08-14,Wed,831,471,1306,1332,3516,3317,1753,1660,1203,1131
2024-08-15,Thu,736,511,1222,1186,3358,3195,1854,1614,1172,1079
2024-08-16,Fri,1149,4077,2366,2126,3949,3685,2014,1868,1343,1245
2024-08-17,Sat,413,327,657,708,3898,3258,1376,1199,1060,873
2024-08-18,Sun,163,154,327,302,2811,2726,801,879,783,732
2024-08-19,Mon,721,412,1054,990,2846,3221,1040,1294,801,810
2024-08-20,Tue,596,214,1163,1081,2898,2769,1669,1573,1034,1006
2024-08-21,Wed,702,292,1335,1111,3360,3460,1704,1620,1131,1104
2024-08-22,Thu,827,445,1254,1034,3342,3313,1888,1721,1262,1195
2024-08-23,Fri,355,278,560,473,2780,2557,1022,912,852,825
2024-08-24,Sat,374,271,535,578,2953,2740,1101,918,909,626
2024-08-25,Sun,214,147,378,254,2434,2241,626,610,551,638
2024-08-26,Mon,214,227,358,372,2066,2282,753,866,711,737
2024-08-27,Tue,857,406,1565,1183,3576,3783,1767,1721,1164,1218
2024-08-28,Wed,442,504,961,1143,2359,2254,1213,1049,785,758
2024-08-29,Thu,844,408,1365,1237,3140,3106,1789,1735,1204,1159
2024-08-30,Fri,776,472,1391,1041,3560,3527,1918,1817,1496,1501
2024-08-31,Sat,396,284,763,663,3787,3257,1394,1176,1070,824
